Name,Breed,Sex and Status,Age,Size,Status,Species,Rescue ID,General Color, Color, Current Age,Fence Required,Declawed,Housetrained,Exercise Needs,Grooming Needs,Shedding Amount,Owner Experience Needed,Reaction to New People,Trait1,Trait2,Trait3,Trait4,Trait5,Trait6,Trait7,Trait8,Trait9,Trait10
Nash,Domestic Short Hair / Mixed (short coat),Male (neutered),Baby,Status:Adopted!,Species: Cat,Rescue ID: C220468,General Color: Orange (Mostly),Current Age: 1 Year 10 Months  (best estimate),Fence Required: No,Declawed: No,Housetrained: Yes,Exercise Needs: Not Required,Grooming Needs: Not Required,Shedding Amount: Moderate,Owner Experience Needed: None,Reaction to New People: Friendly
Fancy,Calico / Mixed (short coat),Female (spayed),Baby,Status:Adopted!,Species: Cat,Rescue ID: C220474,General Color: Calico or Dilute Calico,Current Age: 1 Year 8 Months  (best estimate),Fence Required: No,Declawed: No,Housetrained: Yes,Exercise Needs: Not Required,Grooming Needs: Not Required,Shedding Amount: Moderate,Owner Experience Needed: None,Reaction to New People: Friendly
Frida,Domestic Short Hair / Mixed (short coat),Female (spayed),Baby,Status:Adopted!,Species: Cat,Rescue ID: C220473,"General Color: Gray, Blue or Silver Tabby",Current Age: 1 Year 8 Months  (best estimate),Fence Required: No,Declawed: No,Housetrained: Yes,Exercise Needs: Not Required,Grooming Needs: Not Required,Shedding Amount: Moderate,Owner Experience Needed: None,Reaction to New People: Friendly
Ike,Norwegian Forest Cat / Maine Coon / Mixed (medium coat),Male (not neutered),Adult,Large,Status:Adopted!,Species: Cat,Rescue ID: C190015,General Color: Black and White,Current Age: 6 Years 3 Months  (best estimate),Fence Required: No,Declawed: No,Housetrained: Yes,Exercise Needs: Moderate,Grooming Needs: Moderate,Shedding Amount: Moderate,Owner Experience Needed: None,Reaction to New People: Friendly
Silver,Maine Coon / Munchkin / Mixed (long coat),Female (spayed),Young,Small,Status:Adopted!,Species: Cat,Rescue ID: C180260,General Color: Gray and White,Current Age: 6 Years 6 Months  (best estimate),Fence Required: No,Declawed: No,Housetrained: Yes,Exercise Needs: Not Required,Grooming Needs: Moderate,Shedding Amount: Moderate,Owner Experience Needed: None,Reaction to New People: Friendly
Harriette,Maine Coon / Domestic Medium Hair / Mixed (medium coat),Female (spayed),Baby,Large,Status:Adopted!,Species: Cat,Rescue ID: C180265,General Color: Tortoiseshell,Current Age: 6 Years 1 Month  (best estimate),Fence Required: No,Declawed: No,Housetrained: Yes,Exercise Needs: Not Required,Grooming Needs: Moderate,Shedding Amount: Moderate,Owner Experience Needed: None,Reaction to New People: Friendly
Tito,Bombay / Domestic Medium Hair / Mixed (medium coat),Male (not neutered),Young,Status:Adopted!,Species: Cat,Rescue ID: C180234,General Color: Black (Mostly),Current Age: 6 Years 4 Months  (best estimate),Fence Required: No,Declawed: No,Housetrained: Yes,Exercise Needs: Moderate,Grooming Needs: Moderate,Shedding Amount: Moderate,Owner Experience Needed: None,Reaction to New People: Friendly
Pollo,Ragdoll / Domestic Medium Hair / Mixed (medium coat),Male (not neutered),Baby,Medium,Status:Adopted!,Species: Cat,Rescue ID: C180138,General Color: Orange,Current Age: 6 Years 3 Months  (best estimate),Fence Required: No,Declawed: No,Housetrained: Yes,Exercise Needs: Not Required,Grooming Needs: Moderate,Shedding Amount: Moderate,Owner Experience Needed: None,Reaction to New People: Friendly
Marco,Ragdoll / Domestic Medium Hair / Mixed (medium coat),Male (not neutered),Baby,Medium,Status:Adopted!,Species: Cat,Rescue ID: C180137,General Color: Orange,Current Age: 6 Years 3 Months  (best estimate),Fence Required: No,Declawed: No,Housetrained: Yes,Exercise Needs: Not Required,Grooming Needs: Moderate,Shedding Amount: Moderate,Owner Experience Needed: None,Reaction to New People: Friendly
McEnroe,Tabby / Domestic Short Hair / Mixed (short coat),Male (neutered),Young,Medium,Status:Adopted!,Species: Cat,Rescue ID: C180060,General Color: Red Tabby,Color: Tabby,Current Age: 7 Years 1 Month  (best estimate),Fence Required: No,Declawed: No,Housetrained: Yes,Exercise Needs: Not Required,Grooming Needs: Moderate,Shedding Amount: Moderate,Owner Experience Needed: None,Reaction to New People: Friendly
